3 50 107 6
90.000 50.000 2634
30.000 84.641 2634
30.000 15.359 2634
17.477 2.228 72
61.563 56.729 87
2.249 26.761 48
52.570 2.048 27
66.489 60.077 10
11.813 49.161 28
88.116 73.056 66
66.797 71.725 7
72.354 39.648 46
52.917 74.454 67
39.218 61.594 72
3.754 70.306 61
82.999 92.621 83
18.231 5.142 14
65.314 52.704 81
69.211 11.288 91
24.481 58.923 37
43.188 95.819 43
3.705 40.494 97
68.253 67.267 47
81.311 63.306 76
9.430 38.239 96
90.262 77.252 83
99.890 73.587 40
4.288 29.291 49
45.367 47.104 26
6.445 69.919 47
0.311 86.087 46
5.273 32.388 44
80.090 85.889 21
86.664 95.505 95
56.635 27.341 45
48.236 64.435 90
97.449 92.053 5
20.352 32.321 99
63.055 5.722 11
95.966 30.945 42
87.213 11.084 30
33.173 53.928 27
41.251 41.724 21
21.841 53.342 30
40.176 98.669 57
81.674 82.620 77
96.884 85.852 83
45.984 97.964 50
84.091 0.421 57
45.804 49.393 78
34.177 62.527 42
5.234 3.668 68
7.275 68.515 15
0 39
1 13
1 44
1 47
2 16
3 16
4 7
4 12
4 13
4 22
4 23
4 28
4 35
5 21
5 24
5 37
5 51
6 18
6 38
7 11
7 22
7 35
7 49
8 19
8 21
8 27
8 29
8 43
9 10
9 15
9 22
9 26
9 33
9 46
10 12
10 22
10 23
10 25
10 32
10 35
11 34
12 13
12 47
12 50
13 42
13 43
13 50
14 19
14 30
14 43
15 32
15 36
15 45
16 51
17 22
17 23
17 35
17 49
18 38
19 28
19 41
19 42
19 43
19 49
20 47
21 24
21 37
22 23
22 25
22 32
22 35
23 32
23 45
24 31
25 32
25 33
25 45
26 36
26 46
27 31
28 34
28 35
28 41
28 49
29 43
30 52
31 37
32 33
33 36
33 45
33 46
34 49
35 49
36 45
36 46
37 43
38 40
39 40
40 48
41 42
41 50
42 49
42 50
43 50
43 52
44 47
49 50
