3 49 92 6
90.000 50.000 2303
30.000 84.641 2303
30.000 15.359 2303
0.000 100.000 30
16.667 100.000 74
33.333 100.000 57
50.000 100.000 20
66.667 100.000 76
83.333 100.000 84
100.000 100.000 40
0.000 83.333 50
16.667 83.333 89
33.333 83.333 3
50.000 83.333 99
66.667 83.333 57
83.333 83.333 6
100.000 83.333 53
0.000 66.667 20
16.667 66.667 84
33.333 66.667 63
50.000 66.667 66
66.667 66.667 20
83.333 66.667 84
100.000 66.667 13
0.000 50.000 11
16.667 50.000 74
33.333 50.000 32
50.000 50.000 94
66.667 50.000 29
83.333 50.000 34
100.000 50.000 14
0.000 33.333 73
16.667 33.333 83
33.333 33.333 71
50.000 33.333 60
66.667 33.333 74
83.333 33.333 26
100.000 33.333 15
0.000 16.667 1
16.667 16.667 7
33.333 16.667 80
50.000 16.667 85
66.667 16.667 21
83.333 16.667 12
100.000 16.667 55
0.000 0.000 2
16.667 0.000 12
33.333 0.000 45
50.000 0.000 75
66.667 0.000 68
83.333 0.000 54
100.000 0.000 8
0 29
0 30
1 5
1 11
1 12
2 39
2 40
2 47
3 4
10 11
17 18
24 25
31 32
38 39
45 46
4 5
11 12
18 19
25 26
32 33
39 40
46 47
5 6
12 13
19 20
26 27
33 34
40 41
47 48
6 7
13 14
20 21
27 28
34 35
41 42
48 49
7 8
14 15
21 22
28 29
35 36
42 43
49 50
8 9
15 16
22 23
29 30
36 37
43 44
50 51
3 10
10 17
17 24
24 31
31 38
38 45
4 11
11 18
18 25
25 32
32 39
39 46
5 12
12 19
19 26
26 33
33 40
40 47
6 13
13 20
20 27
27 34
34 41
41 48
7 14
14 21
21 28
28 35
35 42
42 49
8 15
15 22
22 29
29 36
36 43
43 50
9 16
16 23
23 30
30 37
37 44
44 51
