5 100 284 6
90.000 50.000 5035
62.361 88.042 5035
17.639 73.511 5035
17.639 26.489 5035
62.361 11.958 5035
68.127 31.522 98
60.815 45.749 9
39.191 51.630 40
76.767 91.977 67
86.304 57.291 27
58.548 23.074 22
50.806 73.822 58
53.326 71.756 68
19.180 69.278 10
49.991 84.866 88
62.628 46.295 42
95.609 89.258 44
4.193 29.349 65
76.959 53.076 50
75.659 35.922 33
13.199 79.178 34
45.288 63.132 49
94.244 2.161 67
8.737 88.089 41
98.798 61.981 46
51.172 32.718 54
98.834 8.871 41
21.683 44.781 83
66.168 67.627 41
23.804 58.759 27
3.888 67.874 77
30.792 85.559 24
93.713 42.294 44
93.903 1.379 35
41.791 20.044 90
38.638 25.720 74
83.121 9.979 90
50.452 59.219 68
30.701 90.350 38
49.948 56.100 73
92.395 10.886 42
60.977 96.045 15
88.937 82.187 78
95.538 58.813 85
52.692 88.397 79
29.562 54.257 82
31.598 25.006 70
36.096 83.380 46
28.320 46.609 9
89.398 64.697 19
33.789 22.168 81
67.752 17.554 12
29.285 50.198 88
76.804 12.100 95
94.806 95.837 26
1.242 37.262 4
35.721 88.583 18
83.560 65.622 5
87.701 75.851 13
36.624 70.029 37
43.646 76.202 78
34.424 33.743 46
28.537 29.382 18
5.341 56.226 13
91.360 10.800 97
86.740 52.979 37
49.783 78.323 56
1.572 42.584 58
75.891 61.600 95
98.978 69.757 41
12.155 1.215 73
74.677 92.282 5
18.845 9.235 1
65.085 24.826 29
39.325 66.644 29
4.703 46.011 79
91.064 9.308 96
61.560 99.585 78
9.851 94.934 96
32.712 18.408 2
55.420 1.462 77
4.074 33.688 38
90.714 95.068 47
67.923 64.203 66
37.180 35.831 80
60.547 73.337 28
46.820 73.642 41
43.448 98.462 98
81.259 38.754 68
17.532 59.586 36
10.861 62.790 5
42.548 5.328 61
5.771 89.618 37
46.826 16.083 73
47.916 63.925 98
67.282 19.598 11
11.261 30.704 9
69.101 45.587 31
99.121 54.166 70
71.399 15.521 63
54.938 81.921 4
61.533 94.653 25
38.846 52.347 97
29.373 87.207 87
49.356 82.315 37
0 18
0 43
0 88
1 8
1 12
1 14
1 41
1 44
1 77
1 100
1 101
1 104
2 13
2 20
2 23
2 29
2 31
2 90
2 103
3 17
3 27
3 50
3 61
3 62
3 72
4 10
4 73
4 80
4 93
4 95
4 99
5 15
5 19
5 73
5 95
5 99
6 18
6 37
6 97
7 27
7 37
7 39
7 45
7 48
7 52
7 59
7 84
8 41
8 58
8 71
8 77
8 82
9 24
9 32
9 43
9 57
9 69
9 88
9 98
10 34
10 51
10 73
10 99
11 39
11 44
11 47
11 83
11 85
11 100
12 21
12 28
12 39
12 44
12 74
12 85
12 104
13 29
13 31
13 45
13 59
13 63
13 89
13 90
14 31
14 44
14 47
14 60
14 66
14 77
14 104
15 25
15 37
15 39
16 54
16 82
17 55
17 67
17 96
18 19
18 57
18 65
18 68
18 83
18 88
19 32
19 51
19 73
19 88
19 95
20 31
20 78
20 90
20 92
20 103
21 37
21 45
21 60
21 85
21 86
21 94
22 26
22 33
22 40
22 76
23 78
24 43
24 49
24 65
25 34
25 35
25 73
25 84
26 33
26 36
26 40
27 29
27 45
27 48
27 62
27 63
27 75
27 84
27 89
28 66
28 68
28 83
28 85
28 100
29 48
29 52
29 59
29 74
29 89
30 89
31 38
31 56
31 60
31 87
31 103
31 104
32 65
32 88
33 40
33 64
34 50
34 84
34 93
35 46
35 50
35 61
35 79
35 93
36 40
36 99
37 59
37 66
37 74
37 86
37 94
38 56
38 60
38 87
39 83
39 94
39 102
40 53
41 44
41 71
41 77
41 101
41 104
42 54
42 57
42 58
42 69
42 82
43 57
43 68
43 98
44 47
44 66
44 77
44 86
44 100
44 101
45 52
45 59
46 61
46 84
46 93
47 56
47 66
47 86
47 100
47 103
48 52
48 102
49 57
49 58
49 68
49 69
49 98
50 72
50 79
50 84
50 91
51 73
51 95
51 99
52 74
52 84
52 102
53 64
53 73
53 95
55 63
55 96
56 60
56 66
57 65
57 83
57 98
58 68
59 60
59 74
59 86
59 94
59 103
60 74
60 94
60 100
60 103
62 84
63 75
65 68
65 88
66 86
66 94
66 100
66 104
67 75
68 83
68 97
70 72
71 101
73 95
74 94
74 104
75 90
75 96
79 93
80 91
80 93
81 96
83 97
84 102
85 86
85 104
86 100
86 104
94 102
94 104
95 99
101 104
